class,PN,number,description
usb接口_3.0type_卧式母座-弯脚卷口,USAF-091N-48LRC18,50
usb3.1type-c,24p_前插后贴母座,10
usb3.2type-c,母座16pin立式,200
磁珠,GZ1608D601TF,L0603_
排阻,YC124-JR-070RL,R0402*4
ESD,BST236A054U
USB,CH347T
port,A1257WR-S-2P
ldo,ME6210A33PG
磁珠,CBW201209U121T,l0805
fpga,PGC4KD-6ILPG144
磁珠,BLM15PD121SN1D,l0402
sw,DSIC08LSGET
npn,MMBT3904,40V0.2A
mcu,STM32F103C8T6,
ldo,ME6211C33M5G-N
mcu,GD32F103VET6
flash,W25Q80DVSSIG
测试钩子,逻辑分析仪夹子
ULN2003AN,驱动芯片
测试勾,勾式测试夹
LM393,直插运放
干簧管,磁控开关 2*14mm 
LCD1602A,LCD显示屏 5V 1602 液晶屏
IC座子
DB9,公头母头
数码管 0.56英寸
SW-520D HDX-2801 震动
MF5A-3 5K 10K 5%精NTC
A3144霍尔
DS18B20温度
TLP521-1 光耦合器
单联电位器 B10K 三脚
CR2032 电池座
940nm红外接收管
3F07 双声道3.5音频插座
咪头
1838红外接收头
单向 可控硅 MCR100-6 TO-92 0.8A 400V
