吸嘴，ZP-1
吸嘴，ZP-1.5
吸嘴，BT-4
吸嘴，ZPL-2A
吸嘴，ZPL-4B
气管，PU6x4
气管，PU8x5
真空吸笔
微型真空泵24V
130片BGA植锡钢网
BAG植锡小钢架
鹿仙子BGA植锡球无铅，0.45mm
鹿仙子BGA植锡球无铅，0.4mm
鹿仙子BGA植锡球无铅，0.35mm
鹿仙子BGA植锡球无铅，0.3mm
电工剥线钳，0.6-2.6mm
宝石夹，四爪长款
IC芯片起拔器，绿色
逻辑分析仪，24M
ST-LINK/V2,不带3.3V供电-SWD-JTAG
点胶针筒胶,10CC
邦远加热台，BY-1010
可调电源，MS305D（0-30V 0-5A）毫安和安自动转换
三防漆，无苯自干软漆-100ML
正邦回流焊，ZB2015HL
放大镜，20倍-85MM子母镜
防静电衣无尘，XXXXL
锡膏助推，新讯RL-062D萝卜胶枪
金手指高温胶带耐高温烤箱隔热屏，30mm宽*30m长
鹿仙子环保无铅低温焊锡泥送刮刀，【60G】无铅中温180°C+送刮刀+稀释剂
T12烙铁头刀头，T12-I
热风枪，快克959D+/957DW+热风枪拆焊台
压线钳，四边钳HSC8 6-4-电镀款
电脑电器手机维修专用电路板清洗洗板水翻新PCB板清洗剂除胶除尘，V2 1L水+按压瓶




