index,name,page_url,project_url,author,project,id
2050,STC32G12K128-35I-LQFP48的最小系统板,https://oshwhub.com/aisn/stc32g12k128-64lqfp-64-based-dev,https://pro.lceda.cn/editor#id=5200ac6195874b918a6019e01533e300,aisn,stc32g12k128-64lqfp-64-based-dev,5200ac6195874b918a6019e01533e300
2051,STM32F407IGT66最小系统开发板,https://oshwhub.com/qq2711185814/igt6-kai-fa-ban,https://pro.lceda.cn/editor#id=5d62a06b67184d8bacdc4775bb212511,qq2711185814,igt6-kai-fa-ban,5d62a06b67184d8bacdc4775bb212511
2052,基于LM2596的5V 3.3V电源模块,https://oshwhub.com/laotudou/ji-yu-lm2596-de-5v-3-3v-dian-yuan-mo-kuai,https://pro.lceda.cn/editor#id=ed19ca672f974c3a8f6bb6f2d2a42abf,laotudou,ji-yu-lm2596-de-5v-3-3v-dian-yuan-mo-kuai,ed19ca672f974c3a8f6bb6f2d2a42abf
2053,STC32G12K128核心板【模仿】,https://oshwhub.com/zoujingyu/stc32g12k128-core-board-imitatio,https://pro.lceda.cn/editor#id=12fd1141c7e34b72af003bbe782562b6,zoujingyu,stc32g12k128-core-board-imitatio,12fd1141c7e34b72af003bbe782562b6
2054,PCB丝印台,https://oshwhub.com/chxaitz/pcb-si-yin-tai,https://pro.lceda.cn/editor#id=74cf95babc1d4551aaabadadba7a9ec2,chxaitz,pcb-si-yin-tai,74cf95babc1d4551aaabadadba7a9ec2
2055,MPU6050模块，兼容市面上的MPU6050陀螺仪,https://oshwhub.com/qq2711185814/mpu6050,https://pro.lceda.cn/editor#id=a3480ff14c704411897a61c3f4f05443,qq2711185814,mpu6050,a3480ff14c704411897a61c3f4f05443
2056,IP5306冲放一体5V2A锂电池管理模块（可贴片）,https://oshwhub.com/goldenfish/ip5306-chong-fang-yi-ti-5v2a-li-dian-chi-guan-li-mo-kuai-ke-tie-pian,https://pro.lceda.cn/editor#id=5d440b6a0fc444e9b59dd5cf06e8fa36,goldenfish,ip5306-chong-fang-yi-ti-5v2a-li-dian-chi-guan-li-mo-kuai-ke-tie-pian,5d440b6a0fc444e9b59dd5cf06e8fa36
2057,立创天空星控制类拓展板,https://oshwhub.com/zhongye/lichuang-sky-star-control-class-,https://pro.lceda.cn/editor#id=0877cce3513a441aaf097694c89391df,zhongye,lichuang-sky-star-control-class-,0877cce3513a441aaf097694c89391df
2058,#第九届立创电赛#桌面温湿度显示仪,https://oshwhub.com/zcl-2028/desktop-temperature-and-humidity-detector,https://pro.lceda.cn/editor#id=849967b7916f412ba5be36a23b0561d0,zcl-2028,desktop-temperature-and-humidity-detector,849967b7916f412ba5be36a23b0561d0
2059,2024电赛g题-基于天空星stm32f401,https://oshwhub.com/kaqi166/question-g-of-2024-electric-race,https://pro.lceda.cn/editor#id=f6b7eb17c6ae4f708a550ef5c04964f3,kaqi166,question-g-of-2024-electric-race,f6b7eb17c6ae4f708a550ef5c04964f3
2060,#训练营#简易数字示波器-低成本mini,https://oshwhub.com/lh118/jyszsbq5547085a,https://pro.lceda.cn/editor#id=544372fe73b441a9be2c5dad03afa55d,lh118,jyszsbq5547085a,544372fe73b441a9be2c5dad03afa55d
2061,基于stm32f030c8t6和mc34063的可调电源和电压表,https://oshwhub.com/wen_rou_l/ji-yu-stm32f030c8t6-de-ke-diao-dian-yuan-he-dian-biao,https://pro.lceda.cn/editor#id=8a5dd537004340b6a47be73359bf42cc,wen_rou_l,ji-yu-stm32f030c8t6-de-ke-diao-dian-yuan-he-dian-biao,8a5dd537004340b6a47be73359bf42cc
2062,#训练营#简易数字示波器,https://oshwhub.com/liaoxuduan/simple-digital-oscilloscope,https://pro.lceda.cn/editor#id=8ff67e48c35a4e939b659d32fa8109c8,liaoxuduan,simple-digital-oscilloscope,8ff67e48c35a4e939b659d32fa8109c8
2063,南工程校园灯光画,https://oshwhub.com/hobbh/south-engineering-campus-lighting-painting,https://pro.lceda.cn/editor#id=47d9ef1c90d84d0fb5dcabc6f6047322,hobbh,south-engineering-campus-lighting-painting,47d9ef1c90d84d0fb5dcabc6f6047322
2064,第九届立创电赛#桌面温湿度监测仪Type-c充电6925297A,https://oshwhub.com/litianyu1/di-jiu-jie-li-chuang-dian-sai-zhuo-mian-wen-shi-du-jian-ce-yi-type-c-chong-dian,https://pro.lceda.cn/editor#id=527c1b7b6ebe49188feaefe931c12963,litianyu1,di-jiu-jie-li-chuang-dian-sai-zhuo-mian-wen-shi-du-jian-ce-yi-type-c-chong-dian,527c1b7b6ebe49188feaefe931c12963
2065,Open ART屏幕扩展板,https://oshwhub.com/opensourcesncr/open-art-ping-mu-kuo-zhan-ban,https://pro.lceda.cn/editor#id=b4c7ba477e684f9a9f22c4bb718e7221,opensourcesncr,open-art-ping-mu-kuo-zhan-ban,b4c7ba477e684f9a9f22c4bb718e7221
2066,JW5033贴片降压模块,https://oshwhub.com/opensourcesncr/jw5033-tie-pian-jiang-ya-mo-kuai,https://pro.lceda.cn/editor#id=e7672dbdff9e49e2a466e4d26dc9b7cb,opensourcesncr,jw5033-tie-pian-jiang-ya-mo-kuai,e7672dbdff9e49e2a466e4d26dc9b7cb
2067,NAE12S17降压模块,https://oshwhub.com/opensourcesncr/nae12s17-jiang-ya-mo-kuai,https://pro.lceda.cn/editor#id=316c09419143496496e47b8e027d6176,opensourcesncr,nae12s17-jiang-ya-mo-kuai,316c09419143496496e47b8e027d6176
2068,NANDov4.0V4.1方案版主控采用CH32F207VCT6,https://oshwhub.com/v6760hu/nandopen-yuan-ban,https://pro.lceda.cn/editor#id=88adea5f95d34179ad12acdba991b914,v6760hu,nandopen-yuan-ban,88adea5f95d34179ad12acdba991b914
2069,8.14寸SES4色价签驱动板,https://oshwhub.com/icecreamx89/8-14-cun-ses4-se-jia-qian-qu-dong-ban,https://pro.lceda.cn/editor#id=998ec71978de47d8bc391560a5b72c91,icecreamx89,8-14-cun-ses4-se-jia-qian-qu-dong-ban,998ec71978de47d8bc391560a5b72c91
2070,35闭环步进电机驱动板&&台钳控制板,https://oshwhub.com/xaiomao/tai-qian-kong-zhi-ban,https://pro.lceda.cn/editor#id=05f83d2561e6413ba505b09ee441a174,xaiomao,tai-qian-kong-zhi-ban,05f83d2561e6413ba505b09ee441a174
2071,面包板迷你电源,https://oshwhub.com/sswlz/breadboard-mini-power-supply,https://pro.lceda.cn/editor#id=a1d4fdc0cd8c47ce8af6308aaf785fbf,sswlz,breadboard-mini-power-supply,a1d4fdc0cd8c47ce8af6308aaf785fbf
2072,基于单路SW3538S+双路SW3526的大功率直流降压充电器,https://oshwhub.com/tomtang3568/high-power-dc-buck-charger-based-on-single-sw3538s-and-dual-sw3526,https://pro.lceda.cn/editor#id=ec388a5badfd4b0e99c551d3dd75e30e,tomtang3568,high-power-dc-buck-charger-based-on-single-sw3538s-and-dual-sw3526,ec388a5badfd4b0e99c551d3dd75e30e
2073,STC8H8K64U/32G12K128最小系统改进,https://oshwhub.com/loveliang/stc8h8k64u-32g12k128-zui-xiao-xi-tong-gai-jin,https://pro.lceda.cn/editor#id=016075bab5244e06bf691bee67d75c82,loveliang,stc8h8k64u-32g12k128-zui-xiao-xi-tong-gai-jin,016075bab5244e06bf691bee67d75c82
