index,name,url
72,神之眼S3“Pro”版,/planevina/shen-zhi-yan-xiao-zha-zha-v1-2_esp32ucopy
73,【全网首发】雷电4笔记本电脑显卡坞,/leo_lin/jhl7440-based-lightning-3-graphics-dock
74,【胖妞手机】泰山派RK3566开发板,/li-chuang-kai-fa-ban/tai-shan-pai-pang-niu-shou-ji-kuo-zhan-ban
75,220V/380V双电压输入可调电源输出DC 5-24V,/leichaolin/220v380v-dual-voltage-input-adjustable-power-supply
76,LED大灯泡,/qxqpcb/fu-ke-you-hu-OneShot-Nikode-deng
77,简易数字示波器设计（入门版）,/course-examples/yi-qi-yi-biao-jian-yi-shu-zi-shi-bo-qi-she-ji-cha-jian-ban
78,低成本迷你放电负载,/heyh/mini-discharge-load
79,[iKun请进] 蒸汽朋克小键盘-基于at32f413,/jinjunan/afpad-at
80,万能卡片OV-Card,/no_chicken/mo-neng-ka-pian-OV-Card
81,征集令 |智能全彩时钟,/90i0/quan-cai-shi-zhong
82,立创·实战派ESP32-C3开发板,/li-chuang-kai-fa-ban/xd-esp32c3-aiot-v1_3_2
83,迷你数控电源-FL Power,/flyn/flpower
84,SpotWelder 点焊机,/climbsnail/spotwelder
85,【全网首发】ZYNQ7035核心板及高速ADC,/z_star/zynq7035-core-board-and-high-speed-adc
86,真 · zigbee门磁,/myjuly/ji-yucc2530-dizigbee3-0-men-ci
87,caven-3.14,/SWP_MCU/aeefd84f983743a1af339ab6bbbd6a80
88,【RA】农田环境数据无线采集灌溉自律系统（基于瑞萨MCU）,/aknice/nong-tian-shu-ju-wu-xian-cai-ji-zi-lv-xi-tong-ji-yu-rui-sa-mcu
89,Raspberry Pi OCR,/yifan0131/RaspberryPiOCR
90,立创·ESP32S3R8N8开发板,/li-chuang-kai-fa-ban/li-chuang-esp32s3r8n8-kai-fa-ban
91,物联型多协议电源,/18511895537/dian-zi-luo-pan-di-ci-yi
92,SY8368QNC大功率电源板,/monologuechi/sy8368qnc-da-gong-lv-ce-shi
93,ElectronBot语音版,/taosi/ElectronBotyu-yin-ban
94,离线语音机器人,/northerntree/new-project
95,开源AR眼镜2,/wwwwyt/kai-yuan-ARyan-jing-2
96,ZYNQ7020核心板及各种射频模块,/z_star/zynq7020-core-board-and-various-rf-modules
97,立创梁山派·天空星开发板,/li-chuang-kai-fa-ban/li-chuang-liang-shan-pai-tian-kong-xing-kai-fa-ban
98,激光雕刻机,/ljb110/laser-engraving-machine
99,立创·梁山派-示波器扩展板,/tangchengming/li-chuang-liang-shan-pai-shi-bo-qi-kuo-zhan-ban
