index,path,name
80,_no_chicken_mo_neng_ka_pian_OV_Card,万能卡片OV_Card
81,_90i0_quan_cai_shi_zhong,征集令__智能全彩时钟
82,_li_chuang_kai_fa_ban_xd_esp32c3_aiot_v1_3_2,立创·实战派ESP32_C3开发板
83,_flyn_flpower,迷你数控电源_FL_Power
84,_climbsnail_spotwelder,SpotWelder_点焊机
85,_z_star_zynq7035_core_board_and_high_speed_adc,_全网首发_ZYNQ7035核心板及高速ADC
86,_myjuly_ji_yucc2530_dizigbee3_0_men_ci,真_·_zigbee门磁
87,_SWP_MCU_aeefd84f983743a1af339ab6bbbd6a80,caven_3.14
90,_li_chuang_kai_fa_ban_li_chuang_esp32s3r8n8_kai_fa_ban,立创·ESP32S3R8N8开发板
91,_18511895537_dian_zi_luo_pan_di_ci_yi,物联型多协议电源
92,_monologuechi_sy8368qnc_da_gong_lv_ce_shi,SY8368QNC大功率电源板
93,_taosi_ElectronBotyu_yin_ban,ElectronBot语音版
94,_northerntree_new_project,离线语音机器人
95,_wwwwyt_kai_yuan_ARyan_jing_2,开源AR眼镜2
97,_li_chuang_kai_fa_ban_li_chuang_liang_shan_pai_tian_kong_xing_kai_fa_ban,立创梁山派·天空星开发板
98,_ljb110_laser_engraving_machine,激光雕刻机
99,_tangchengming_li_chuang_liang_shan_pai_shi_bo_qi_kuo_zhan_ban,立创·梁山派_示波器扩展板
100,_dnoo2_zhi_neng_dian_nao_shu_gao_ji_mi_,智能电脑鼠高级迷宫小车
101,_okll_tspi_mipidsi_to_rgb_adapter,泰山派MIPI_DSI_转_RGB_适配器
102,_xiezhaoyan_51_dan_pian_ji_diy_kai_fa_ban_97_zhi_cha_jian,51单片机DIY开发板（97%直插件）
103,_aknice_5.1wu_xian_huan_rao_yin_xiang,5.1无线环绕K歌音响SoundBar
104,_gnosis_4c3ff2faabb04861b6b0c41d1a7df3da,YuToo墨水屏时钟
105,_li_chuang_kai_fa_ban_li_chuang_gd32e230_zui_xiao_xi_tong_ban,立创·GD32E230最小系统板
106,_myzhazha_esp32s3_86_kai_fa_ban,ESP32S3_86盒开发板_带触摸
107,_gugugu625_zhuo_mian_kuai_jie_kong_zhi_zhon,桌面快捷控制中心
108,_sakading_4_2_cun_lan_ya_dian_zi_xiang_ce,4.2寸蓝牙电子相册&amp;日历
109,_tnanastar_duo_kou_kuai_chong_zhuo_mian_dian_yuan_65w_65w_65w_65w,260W多口快充桌面电源
