电阻盘20Ω
电阻盘电容盘
排阻A09202J2K200只
钽电容10uF
电阻1/2W电阻1K0.5W电阻色环电阻直插电阻碳膜电阻500只
电容瓷片电容0.1UF10450V磁片电容瓷介电容一包1000个
2w电阻5W3W2W1W金属膜碳膜五/四色环电阻1/10/330欧1K2.2K4.7K10K200K1M
三极管三极管S90159015直插TO92晶体管0.15A/50VPNP1000只
S8050直插三极管S8050TO921000只/包
S8550直插S8550三极管TO92整包1000个
S9015三极管S90159015直插TO92晶体管0.15A/50VPNP1000只
1N4148IN41481N41484148直插二极管DO35开关二极管500只/包
承压二极管6V2
晶振直插贴片8Mhz32.768k
晶振直插贴片49SSMD
STM32F103CBT6
STC32G12K128
AT32AT32F403AVGT7
GD32GD32F407VET6LQFP100原装正品
GD32GD32F103VET6
STC32G12K128PDIP40
STC32STC32G12K12835IPDIP40
GD32GD32F407VET6
SGM20193.3YN5G/TR3V3LDOSOT235
LDOAMS11173.3V
TL431TL431SOT23
W25Q32JVSSIQW25Q32JVSSIQSOIC8ICFLASH闪存芯片32MBIT
GD25Q32CSIGGD25Q32CSIGSOP832MbitSPIFLASH存储器芯片
GD25Q80GD25Q808Mflash
CH34CCH340C
SL2.2SSSOP28
SL2.1SSSOP16
SL2.1ASOP16
USB公口KHUSB180AM4P
USB母口KHAF90QC10JB
USB4芯黑色USB公头30厘米
USB黑色USB公头4芯
IC锁紧座40P锁紧座
弯针单排弯针铁针1*40P200/包
TYPEC6P全贴20个
运放/比较器LM311DR
电熨斗白+灰不锈钢底板+烫衣垫
高温胶带0.18mm厚*10mm宽*10米
热转印纸105g热升华转印纸100张黄底SP即干型A4
腐蚀剂绿色蚀刻剂650克/瓶
敷铜板玻纤维FR4A双面15*20厚度1.6
覆铜板10*15cm电木
盐酸10斤桶装加强高效20%
双氧水双氧水工业用高浓度晶体固态体双氧粉末漂白剂清洗颗粒消毒厂家供
洗板水V21L水+按压瓶
单面敷铜板10*15cm厚1.6mm
不锈钢45*35*7cm特厚平底
加热板150*150*20mm220v600w
NTCB395010K线长0.5米
5730LEDSMD进口LED56305730贴片灯珠超高亮暖白光绿红色冰蓝粉包邮
比较器直插LM39317393低功耗电压双比较器DIP8
编程振荡器/定时芯片NE555直插DIP8编程振荡器/定时芯片DIP8
PMOSSI2301
开关TS4535TP
贴片保险丝0805贴片自恢复保险丝/保险管PPTCMFPSFM050X20.5A6V
USBESD
MT3540
MT3608L
M3406ADJ
LM311DR
LM339DR
LM393DR
SX1308
GD25Q80GD25Q80
LM321
NS4150B音频功放
信号完整性揭秘
数位管0.36英寸三位共阴AS/AH
LED红数量拍1份=100个
typec16颜色分类16P带弹片不锈钢壳
Typec6颜色分类6P带弹片不锈钢壳
TL431TL431
Typec6颜色分类6P全贴
typec16颜色分类16P不带弹片不锈钢壳
Typec6颜色分类6P不带弹片不锈钢壳
QMI8658A6轴陀螺仪
ESP32C3ESP32C3QFN32
QMC5883LQMC5883LLGA16三轴地磁传感器
FPC连接器SMD
ESP32C3ESP32S3
QMI8658A代理商直发QMI8658A1个起售新版本
da228ec
传感器da260
QMA6100P三轴计步器软件陀螺仪运动监测
QMC5883L三轴地磁磁性传感器芯片LGA16
自恢复保险丝24V/1206/1.1A
贴片磁珠包0805贴片磁珠包16种各20个
2.4寸LCD焊接款01
ES8311音频芯片
AHT20F温湿度传感器
MEMS硅麦3722硅麦MEMS硅麦
220uFCAPTH_BD6.3P2.50D1.0FD
AOD403TO2522_L6.6W6.1P4.57LS9.9TLCW
B772TO2522_L6.6W6.1P4.57LS9.9TLCW
D882TO2522_L6.6W6.1P4.57LS9.9TLCW
LM324ASRSOIC14_L8.7W3.9P1.27LS6.0BL
SS49ESS49ETO92直插1只国芯
彩色排针白色100个
跳线帽白色100个
拨动开关12MM拨动开关弯
安规电容400V1nF
1N4007
1N5819
1N5822
1N5408
FR107
FR307
S8050
S8550
SS8050
SS8550
9012
95酒精1瓶2000毫升一瓶
特氟龙胶带耐高温0.18mm厚15mm宽*10米长
电蚊拍基础款无诱蚊灯一体式充电
超高亮LED灯珠5730紫外线紫外线395NM
12Mhz12Mhz3225
MT2492MT2492
25V220uF高频低阻电容体积8X12MM1000只两包
USBA母USBA母全贴卷边
金属膜电阻1/4W电阻包130种共2600只袋装
高频低阻25V220uF
瓷介电容1PF10450V瓷介电容常用50种各50只共2500
N95口罩医用N95级100只五盒
USBmini5pin
USBA4PIN
AT32C16AT24C16国产全新高端质量
伸缩探针P00B1
BVR1.5
鹅颈管
利兹线0.1*40*25m外径0.89mm
跳线帽排针跳线帽2.54MM间距
排针红色铁针排针
彩排杜邦线彩排线杜邦线1.27mm间距28AWG
杜邦簧片母头杜邦簧片2.54mm
杜邦簧片公头杜邦簧片2.54mm
杜邦线公母插头胶壳单排1x5P50只
RV/RNB圆环冷压端子RNB1.2533.21000只
冷压接线帽铝芯CE1
插簧/插片冷压端子盒装6.3/4.8/2.8插簧+插片+护套各30套
热缩管5mm
多股铜芯软线RV0.585米/卷
冷压接线端子E0512适用0.5mm红色
四方压钳四边钳HSC864电镀款范围0.2510平方
280隔膜水泵280隔膜水泵带耳朵
LED灯源无电池3000W续航随意加/送TypeC线
自锁开关PBS11A带锁红色10个
亿纬18650锂电池正品原码亿纬EVE2600毫安13A5C动力
金属膜电阻0.25W/1%/D2.4_L6.5
金属膜电阻1K/0.25W/1%/D2.4_L6.5
金属膜电阻4.7K/0.25W/1%/D2.4_L6.5
金属膜电阻10K/0.25W/1%/D2.4_L6.5
金属膜电阻1K/0.5W/1%/D3xL9.5
金属膜电阻4.7/3W/1%/D5.7_L11.9
光敏电阻GL5506/亮电阻4kΩ~7kΩ暗电阻500kΩ/P3
独石电容100PF10UF/P5.08
独石电容100PF10UF/50V/10%/P5.08
独石电容100nF/50V/10%/P5.08
独石电容7.5uF/50V/10%/P5.08
