类型,发布者,网页名称,网页,下载连接,文件名称
电脑主板,老吴,[Allegro17.4以下] DELL戴尔外星人R6主板IPKBL-SC电脑主板PCB文件共享支持SOCKET115,https://bbs.ntpcb.com/forum.php?mod=viewthread&tid=190044&highlight=%E7%94%B5%E8%84%91%E4%B8%BB%E6%9D%BF,https://bbs.ntpcb.com/forum.php?mod=attachment&aid=MjAwMDQ4fDM2ZjJiN2MzfDE3MjAxMDUzMjJ8MTY2NzEzfDE5MDA0NA%3D%3D&ck=cd1069c5,IPKBL-SC.7z
电脑主板,老吴,[Allegro17.4以下] 国产民用CPU 兆芯KX-6640MA 电脑主板 PCB文件,https://bbs.ntpcb.com/forum.php?mod=viewthread&tid=202365&highlight=%E7%94%B5%E8%84%91%E4%B8%BB%E6%9D%BF,https://dl.dianzi168.net/attachment/forum/pw/Day_231102/22_9138_f67e72d136d6f14.7z,KX-6640MA_ZK6002_MAIN_PCB_V_102.7z
电脑主板,老吴,[PADS9.5以下] 车载电脑主板-车载娱乐系统MT3360+TNJ3321PF+TEF6624+MT6611+MT3328 P,https://bbs.ntpcb.com/forum.php?mod=viewthread&tid=78689&highlight=%E7%94%B5%E8%84%91%E4%B8%BB%E6%9D%BF,https://bbs.ntpcb.com/forum.php?mod=attachment&aid=Nzc1MTF8NWVkOTU2Nzd8MTcyMDE5NDAyNnwxNjY3MTN8Nzg2ODk%3D&ck=1ffa9f96,MT3360_car_pc_DXF.zip
电脑主板,老吴,,,https://bbs.ntpcb.com/forum.php?mod=attachment&aid=Nzc1MTN8NWNjZTM5Njl8MTcyMDE5NDMwMHwxNjY3MTN8Nzg2ODk%3D&ck=857310c2,MT3360_car_pc_sch.zip
电脑主板,老吴,,,https://bbs.ntpcb.com/forum.php?mod=attachment&aid=Nzc1MTJ8MzQzMTNiY2J8MTcyMDE5NDM0NnwxNjY3MTN8Nzg2ODk%3D&ck=df8c64ac,MT3360_car_pc_pcb.zip
电脑主板,老吴,[Allegro17.4以下] 日本索尼快20年的笔记本电脑主板PCB ak1-mb-1014c-广达代工设,https://bbs.ntpcb.com/forum.php?mod=viewthread&tid=203814&highlight=%E7%94%B5%E8%84%91%E4%B8%BB%E6%9D%BF,https://bbs.ntpcb.com/forum.php?mod=attachment&aid=MjE5Njc3fGM0YzI5MmUzfDE3MjAxOTQ1MzZ8MTY2NzEzfDIwMzgxNA%3D%3D&ck=67eae32e,ak1-mb-1014c-174.zip
电脑主板,老吴,[Allegro17.4以下] 戴尔DELL Precision M6800 LA-9781P 移动工作站笔记本电脑主板PCB,https://bbs.ntpcb.com/forum.php?mod=viewthread&tid=194088&highlight=%E7%94%B5%E8%84%91%E4%B8%BB%E6%9D%BF,https://dl.dianzi168.net/attachment/forum/pw/Day_221116/22_9138_3eb1d72f0b180b6.7z,LA9781PR10-0624.7z
电脑主板,老吴,[Allegro17.4以下] 戴尔Inspiron 灵越 15 7000（7577） 游戏本 笔记本电脑主板PCB文,https://bbs.ntpcb.com/forum.php?mod=viewthread&tid=171245&highlight=%E7%94%B5%E8%84%91%E4%B8%BB%E6%9D%BF,https://dl.dianzi168.net/attachment/forum/pw/Day_210419/22_9138_85670aec6151176.7z,Dell Inspiron 15 7577 Compal CKA50 CKF50 LA-E992P Rev 1_write_locked.7z
电脑主板,老吴,[Allegro16.6以下] 英特尔8层 IBEXPEAK-M+N11M-GE1笔记本电脑主板PCB共享,https://bbs.ntpcb.com/forum.php?mod=viewthread&tid=132631&highlight=%E7%94%B5%E8%84%91%E4%B8%BB%E6%9D%BF,https://bbs.ntpcb.com/forum.php?mod=attachment&aid=MTM5MTY2fDE3Yjk0YjA3fDE3MjAxOTU3NDh8MTY2NzEzfDEzMjYzMQ%3D%3D&ck=ef9f4692,N11M-GE1.7z
电脑主板,老吴,[Allegro16.6以下] OXY5336A主板支持intel  I7/I5/I3 cpu 的电脑主板PCB文件共享,https://bbs.ntpcb.com/forum.php?mod=viewthread&tid=140606&highlight=%E7%94%B5%E8%84%91%E4%B8%BB%E6%9D%BF,https://bbs.ntpcb.com/forum.php?mod=attachment&aid=MTQ4MjA5fDU1YWIxMjEyfDE3MjAxOTY5NDN8MTY2NzEzfDE0MDYwNg%3D%3D&ck=591e16ab,OXY5336A.7z
